# GENERATED by tools/perf-work-span.py — the evidence-observation four-chunk critical-path
# model: zero-cost wave span = max over chunks of (worker wall - chunk target) + measured
# serial overhead; aggregate target work is NEVER copied into a wall-saving claim.
chunk	profile_total_s	target_issue_s	target_cause_s	target_req_s	target_group_s	target_total_s	residual_s
WitnessRejectPrelude.v	1.77	0.00	0.00	0.00	0.00	0.00	1.77
WitnessRejectA.v	9.35	8.36	0.00	0.00	0.00	8.36	1.00
WitnessRejectB.v	10.69	3.46	2.23	0.00	0.52	6.21	4.48
WitnessRejectC.v	9.16	0.00	2.19	0.00	3.09	5.28	3.88
WitnessRejectD.v	9.04	0.00	2.91	0.00	1.24	4.15	4.89

metric	value
aggregate_target_work_s	24.00
current_wave_span_ms	15488
zero_cost_wave_span_ms	9690
max_fixture_wall_saving_ms	5798
max_aggregate_work_saving_s	24.00
max_complete_path_wall_saving_s	5.8 (the wave saving carries through: emit stays critical and proof 18s stays below it)
zero_cost_complete_path_lower_bound_s	97.2
realistic_expected_saving	UNKNOWN_PENDING_SPIKE
predicted_next_critical_path	theory-build 26s + emit ~27s + go 9s + join 6s inside the solve
